route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
9,"0_1","0_1_901_9_10012","Ljubljanica",,1,901,"9_2"
4,"0_1","0_1_404_4_10064","Savski most",,1,404,"4_5"
1,"0_1","0_1_102_1_10021","Borongaj",,0,102,"1_1"
1,"0_1","0_1_104_1_10020","Z. kolodvor",,1,104,"1_7"
2,"0_1","0_1_207_2_10069","Savišće",,0,207,"2_9"
11,"0_1","0_1_1107_11_10056","Črnomerec",,1,1107,"11_14"
11,"0_1","0_1_1111_11_10058","Črnomerec",,1,1111,"11_20"
6,"0_1","0_1_601_6_10104","Črnomerec",,1,601,
2,"0_1","0_1_211_2_10044","Črnomerec",,1,211,"2_13"
6,"0_1","0_1_609_6_10091","Savski gaj",,0,609,
118,"0_1","0_1_11802_118_10010","Trg Mažur.",,1,11802,"118_1"
17,"0_1","0_1_1707_17_10061","Borongaj",,0,1707,"17_14"
2,"0_1","0_1_201_2_10056","Črnomerec",,1,201,"2_8"
5,"0_1","0_1_501_5_10042","Prečko",,1,501,"5_37"
176,"0_1","0_1_17603_176_10041","G. Bistra",,0,17603,"176_27"
126,"0_1","0_1_12601_126_10002","Črnomerec",,1,12601,"126_2"
290,"0_1","0_1_29002_290_10015","V. Gorica",,0,29002,"290_1"
172,"0_1","0_1_17203_172_10020","Črnomerec",,1,17203,"172_11"
227,"0_1","0_1_22704_227_10009","Grač. dolje",,0,22704,"227_6"
132,"0_1","0_1_13201_132_10004","Savski most",,1,13201,"132_6"
110,"0_1","0_1_11003_110_10012","Savski most",,1,11003,"110_2"
217,"0_1","0_1_21701_217_10004","Kvat. trg",,1,21701,"217_8"
115,"0_1","0_1_11502_115_10008","Ljubljanica",,1,11502,"115_5"
233,"0_1","0_1_23301_233_10002","Mihaljevac",,1,23301,"233_4"
263,"0_1","0_1_26303_263_10027","Planina Gornja",,0,26303,"263_3"
107,"0_1","0_1_10701_107_10007","Žitnjak-okr.",,0,10701,"107_2"
237,"0_1","0_1_23701_237_10005","Kozari Putevi",,0,23701,"237_1"
128,"0_1","0_1_12801_128_10004","Črnomerec",,1,12801,"128_4"
114,"0_1","0_1_11401_114_10005","Prečko",,0,11401,"114_1"
268,"0_1","0_1_26806_268_10063","V. Gorica",,0,26806,"268_17"
315,"0_1","0_1_31501_315_10002","Savski most",,1,31501,"315_1"
174,"0_1","0_1_17401_174_10002","Zaprešić",,1,17401,"174_9"
268,"0_1","0_1_26803_268_10034","Gl.kolodvor",,1,26803,"268_2"
206,"0_1","0_1_20601_206_10004","Dubrava",,1,20601,"206_2"
172,"0_1","0_1_17208_172_10037","Zaprešić",,0,17208,"172_12"
203,"0_1","0_1_20303_203_10001","Kaptol",,0,20303,"203_13"
161,"0_1","0_1_16101_161_10013","Štrpet",,0,16101,
241,"0_1","0_1_24101_241_10002","Gl.kolodvor",,1,24101,"241_2"
146,"0_1","0_1_14602_146_10004","Reljkovićeva",,1,14602,"146_3"
134,"0_1","0_1_13402_134_10023","Prečko",,0,13402,
282,"0_1","0_1_28201_282_10002","Sesvete",,1,28201,"282_1"
135,"0_1","0_1_13501_135_10002","Črnomerec",,1,13501,"135_2"
17,"0_1","0_1_1701_17_10070","Prečko",,1,1701,"17_38"
217,"0_1","0_1_21703_217_10007","Struge",,0,21703,"217_1"
129,"0_1","0_1_12901_129_10005","Šestinski dol",,0,12901,"129_1"
132,"0_1","0_1_13202_132_10007","G.Breg-Brezo.",,0,13202,"132_5"
220,"0_1","0_1_22001_220_10023","Dugave",,0,22001,"220_7"
130,"0_1","0_1_13001_130_10002","Črnomerec",,1,13001,"130_2"
4,"0_1","0_1_408_4_10049","Dubec",,0,408,"4_1"
12,"0_1","0_1_1209_12_10047","Dubrava",,0,1209,"12_1"
8,"0_1","0_1_804_8_10063","Sopot",,0,804,
109,"0_1","0_1_10903_109_10017","Dugave",,0,10903,"109_1"
17,"0_1","0_1_1716_17_10078","Prečko",,1,1716,"17_11"
5,"0_1","0_1_513_5_10048","Prečko",,1,513,"5_9"
5,"0_1","0_1_508_5_10045","Park Maksimir",,0,508,"5_17"
11,"0_1","0_1_1104_11_10071","Dubec",,0,1104,"11_3"
9,"0_1","0_1_906_9_10067","Borongaj",,0,906,"9_1"
11,"0_1","0_1_1115_11_10075","Dubec",,0,1115,"11_1"
4,"0_1","0_1_407_4_10078","Savski most",,1,407,"4_7"
4,"0_1","0_1_401_4_10055","Dubec",,0,401,"4_3"
3,"0_1","0_1_301_3_10014","Ljubljanica",,1,301,"3_4"
243,"0_1","0_1_24301_243_10006","Gl.kolodvor",,1,24301,"243_2"
110,"0_1","0_1_11001_110_10017","Botinec",,0,11001,"110_1"
103,"0_1","0_1_10201_103_10002","Britan. trg",,1,10201,"103_2"
261,"0_1","0_1_26102_261_10007","Goranec",,0,26102,"261_5"
126,"0_1","0_1_12602_126_10003","Krvarić",,0,12602,"126_1"
223,"0_1","0_1_22301_223_10002","Dubrava",,1,22301,"223_4"
279,"0_1","0_1_27902_279_10005","Novi Jelkovec",,0,27902,"279_6"
234,"0_1","0_1_23402_234_10009","Lanište",,0,23402,"234_6"
177,"0_1","0_1_17606_177_10006","Črnomerec",,1,17606,"177_1"
115,"0_1","0_1_11501_115_10001","Špansko-Jank.",,0,11501,"115_6"
270,"0_1","0_1_27002_270_10006","Dubec",,1,27002,"270_6"
125,"0_1","0_1_12502_125_10013","G. Vrapče",,0,12502,"125_1"
269,"0_1","0_1_26903_269_10037","Ses.Kraljev.",,0,26903,"269_14"
118,"0_1","0_1_11801_118_10005","Voltino",,0,11801,"118_2"
234,"0_1","0_1_23401_234_10004","Gl.kolodvor",,1,23401,"234_7"
120,"0_1","0_1_12001_120_10009","Prečko",,0,12001,"120_4"
123,"0_1","0_1_12302_123_10013","Pods. Dolje",,0,12302,"123_6"
264,"0_1","0_1_26401_264_10002","Dubec",,1,26401,"264_2"
114,"0_1","0_1_11401_114_10004","Ljubljanica",,1,11401,"114_2"
281,"0_1","0_1_28103_281_10003","Novi Jelkovec",,0,28103,"281_4"
168,"0_1","0_1_16801_168_10005","Prečko",,0,16801,"168_1"
273,"0_1","0_1_27201_273_10009","Lužan",,0,27201,"273_4"
134,"0_1","0_1_13402_134_10012","Črnomerec",,1,13402,"134_2"
166,"0_1","0_1_16601_166_10002","Gl.kolodvor",,1,16601,"166_8"
219,"0_1","0_1_21901_219_10002","Gl.kolodvor",,1,21901,"219_6"
